corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0072,0.0457,1245
gaussian_noise,0.1000,0.0160,0.0991,2004
gaussian_noise,0.1667,0.0258,0.1661,1590
gaussian_noise,0.2333,0.0286,0.2327,1401
gaussian_noise,0.3000,0.0183,0.2999,1260
gaussian_noise,0.3667,0.0236,0.3667,1229
gaussian_noise,0.4333,0.0318,0.4372,692
gaussian_noise,0.5000,0.0167,0.5017,1200
gaussian_noise,0.5667,0.0177,0.5669,1357
gaussian_noise,0.6333,0.0119,0.6335,1260
gaussian_noise,0.7000,0.0088,0.7000,1362
gaussian_noise,0.7667,0.0130,0.7681,1538
gaussian_noise,0.8333,0.0065,0.8354,1835
gaussian_noise,0.9000,0.0083,0.9032,2760
gaussian_noise,0.9667,0.0028,0.9928,29267
shot_noise,0.0333,0.0196,0.0461,1174
shot_noise,0.1000,0.0182,0.0994,1812
shot_noise,0.1667,0.0195,0.1662,1433
shot_noise,0.2333,0.0305,0.2324,1245
shot_noise,0.3000,0.0346,0.2996,1098
shot_noise,0.3667,0.0290,0.3665,1034
shot_noise,0.4333,0.0282,0.4376,603
shot_noise,0.5000,0.0208,0.5019,962
shot_noise,0.5667,0.0163,0.5670,1107
shot_noise,0.6333,0.0170,0.6338,1061
shot_noise,0.7000,0.0147,0.6997,1089
shot_noise,0.7667,0.0112,0.7672,1165
shot_noise,0.8333,0.0123,0.8349,1377
shot_noise,0.9000,0.0095,0.9032,2201
shot_noise,0.9667,0.0021,0.9947,32639
impulse_noise,0.0333,0.0149,0.0463,1138
impulse_noise,0.1000,0.0206,0.0992,1941
impulse_noise,0.1667,0.0176,0.1648,1531
impulse_noise,0.2333,0.0309,0.2332,1264
impulse_noise,0.3000,0.0176,0.2993,1082
impulse_noise,0.3667,0.0256,0.3673,1055
impulse_noise,0.4333,0.0245,0.4383,531
impulse_noise,0.5000,0.0140,0.5031,926
impulse_noise,0.5667,0.0112,0.5658,1071
impulse_noise,0.6333,0.0123,0.6338,1137
impulse_noise,0.7000,0.0124,0.7007,1129
impulse_noise,0.7667,0.0138,0.7679,1307
impulse_noise,0.8333,0.0068,0.8347,1618
impulse_noise,0.9000,0.0050,0.9025,2394
impulse_noise,0.9667,0.0026,0.9941,31876
defocus_blur,0.0333,0.0098,0.0487,713
defocus_blur,0.1000,0.0085,0.1002,1642
defocus_blur,0.1667,0.0089,0.1663,1456
defocus_blur,0.2333,0.0120,0.2325,1248
defocus_blur,0.3000,0.0145,0.2993,1169
defocus_blur,0.3667,0.0123,0.3665,1054
defocus_blur,0.4333,0.0201,0.4364,497
defocus_blur,0.5000,0.0146,0.5033,890
defocus_blur,0.5667,0.0092,0.5671,975
defocus_blur,0.6333,0.0093,0.6328,968
defocus_blur,0.7000,0.0120,0.7002,916
defocus_blur,0.7667,0.0133,0.7665,1056
defocus_blur,0.8333,0.0136,0.8345,1327
defocus_blur,0.9000,0.0075,0.9027,1868
defocus_blur,0.9667,0.0027,0.9953,34221
glass_blur,0.0333,0.0136,0.0478,808
glass_blur,0.1000,0.0131,0.1005,1531
glass_blur,0.1667,0.0199,0.1670,1510
glass_blur,0.2333,0.0177,0.2339,1355
glass_blur,0.3000,0.0195,0.2992,1283
glass_blur,0.3667,0.0263,0.3677,1216
glass_blur,0.4333,0.0289,0.4383,692
glass_blur,0.5000,0.0165,0.5020,1093
glass_blur,0.5667,0.0100,0.5667,1199
glass_blur,0.6333,0.0212,0.6334,1181
glass_blur,0.7000,0.0159,0.7006,1260
glass_blur,0.7667,0.0112,0.7670,1427
glass_blur,0.8333,0.0113,0.8349,1764
glass_blur,0.9000,0.0051,0.9026,2554
glass_blur,0.9667,0.0029,0.9936,31127
motion_blur,0.0333,0.0196,0.0489,511
motion_blur,0.1000,0.0172,0.0998,1162
motion_blur,0.1667,0.0182,0.1665,1098
motion_blur,0.2333,0.0207,0.2328,1063
motion_blur,0.3000,0.0184,0.2995,1032
motion_blur,0.3667,0.0155,0.3662,968
motion_blur,0.4333,0.0189,0.4379,528
motion_blur,0.5000,0.0190,0.5026,788
motion_blur,0.5667,0.0181,0.5673,884
motion_blur,0.6333,0.0124,0.6331,889
motion_blur,0.7000,0.0125,0.7007,961
motion_blur,0.7667,0.0150,0.7676,1064
motion_blur,0.8333,0.0081,0.8356,1241
motion_blur,0.9000,0.0075,0.9039,1867
motion_blur,0.9667,0.0016,0.9958,35944
zoom_blur,0.0333,0.0205,0.0496,831
zoom_blur,0.1000,0.0260,0.0997,2076
zoom_blur,0.1667,0.0404,0.1659,1904
zoom_blur,0.2333,0.0316,0.2322,1834
zoom_blur,0.3000,0.0363,0.2990,1652
zoom_blur,0.3667,0.0263,0.3668,1523
zoom_blur,0.4333,0.0472,0.4367,975
zoom_blur,0.5000,0.0372,0.5023,1237
zoom_blur,0.5667,0.0303,0.5660,1386
zoom_blur,0.6333,0.0317,0.6332,1387
zoom_blur,0.7000,0.0269,0.7002,1339
zoom_blur,0.7667,0.0256,0.7673,1369
zoom_blur,0.8333,0.0270,0.8337,1704
zoom_blur,0.9000,0.0192,0.9022,2346
zoom_blur,0.9667,0.0041,0.9938,28437
snow,0.0333,0.0351,0.0494,485
snow,0.1000,0.0222,0.1003,1082
snow,0.1667,0.0352,0.1674,1109
snow,0.2333,0.0300,0.2327,1068
snow,0.3000,0.0336,0.3000,981
snow,0.3667,0.0331,0.3674,997
snow,0.4333,0.0472,0.4365,635
snow,0.5000,0.0236,0.5019,1146
snow,0.5667,0.0249,0.5669,1204
snow,0.6333,0.0146,0.6334,1229
snow,0.7000,0.0177,0.7006,1298
snow,0.7667,0.0177,0.7678,1466
snow,0.8333,0.0187,0.8345,1815
snow,0.9000,0.0120,0.9032,2657
snow,0.9667,0.0030,0.9937,32828
frost,0.0333,0.0095,0.0474,525
frost,0.1000,0.0267,0.0981,1049
frost,0.1667,0.0361,0.1671,886
frost,0.2333,0.0339,0.2321,796
frost,0.3000,0.0531,0.3006,697
frost,0.3667,0.0386,0.3662,699
frost,0.4333,0.0542,0.4372,406
frost,0.5000,0.0240,0.5039,667
frost,0.5667,0.0343,0.5664,787
frost,0.6333,0.0221,0.6337,815
frost,0.7000,0.0271,0.7008,850
frost,0.7667,0.0200,0.7672,951
frost,0.8333,0.0204,0.8345,1177
frost,0.9000,0.0174,0.9033,1777
frost,0.9667,0.0030,0.9960,37918
fog,0.0333,0.0210,0.0482,953
fog,0.1000,0.0298,0.1009,2117
fog,0.1667,0.0345,0.1669,2119
fog,0.2333,0.0430,0.2329,1883
fog,0.3000,0.0473,0.3001,1693
fog,0.3667,0.0429,0.3671,1632
fog,0.4333,0.0711,0.4359,985
fog,0.5000,0.0418,0.5004,1412
fog,0.5667,0.0464,0.5665,1422
fog,0.6333,0.0324,0.6330,1359
fog,0.7000,0.0346,0.6998,1418
fog,0.7667,0.0421,0.7672,1592
fog,0.8333,0.0295,0.8354,1794
fog,0.9000,0.0344,0.9027,2526
fog,0.9667,0.0051,0.9929,27095
brightness,0.0333,0.0336,0.0501,595
brightness,0.1000,0.0378,0.1017,1826
brightness,0.1667,0.0473,0.1660,1945
brightness,0.2333,0.0476,0.2332,1847
brightness,0.3000,0.0502,0.2996,1652
brightness,0.3667,0.0648,0.3669,1574
brightness,0.4333,0.0943,0.4354,1060
brightness,0.5000,0.0621,0.5007,1288
brightness,0.5667,0.0614,0.5668,1302
brightness,0.6333,0.0522,0.6334,1340
brightness,0.7000,0.0505,0.6999,1365
brightness,0.7667,0.0546,0.7666,1446
brightness,0.8333,0.0543,0.8350,1601
brightness,0.9000,0.0415,0.9034,2338
brightness,0.9667,0.0085,0.9938,28821
contrast,0.0333,0.0077,0.0496,261
contrast,0.1000,0.0090,0.1006,669
contrast,0.1667,0.0113,0.1654,618
contrast,0.2333,0.0074,0.2321,540
contrast,0.3000,0.0130,0.3007,537
contrast,0.3667,0.0160,0.3666,624
contrast,0.4333,0.0063,0.4381,315
contrast,0.5000,0.0097,0.5043,724
contrast,0.5667,0.0069,0.5678,869
contrast,0.6333,0.0035,0.6341,869
contrast,0.7000,0.0084,0.7006,956
contrast,0.7667,0.0070,0.7681,1150
contrast,0.8333,0.0054,0.8349,1486
contrast,0.9000,0.0044,0.9031,2251
contrast,0.9667,0.0022,0.9947,38131
elastic_transform,0.0333,0.0255,0.0486,745
elastic_transform,0.1000,0.0377,0.1001,1776
elastic_transform,0.1667,0.0371,0.1661,1807
