corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0137,0.0449,11945
gaussian_noise,0.1000,0.0253,0.0965,13355
gaussian_noise,0.1667,0.0411,0.1637,7355
gaussian_noise,0.2333,0.0602,0.2308,4655
gaussian_noise,0.3000,0.0765,0.2985,3139
gaussian_noise,0.3667,0.0904,0.3648,2323
gaussian_noise,0.4333,0.0923,0.4326,1647
gaussian_noise,0.5000,0.1135,0.4986,1278
gaussian_noise,0.5667,0.1364,0.5660,953
gaussian_noise,0.6333,0.1465,0.6310,819
gaussian_noise,0.7000,0.1837,0.7000,615
gaussian_noise,0.7667,0.2135,0.7658,548
gaussian_noise,0.8333,0.2632,0.8327,494
gaussian_noise,0.9000,0.3589,0.9000,404
gaussian_noise,0.9667,0.5362,0.9687,470
shot_noise,0.0333,0.0103,0.0468,8345
shot_noise,0.1000,0.0231,0.0978,12690
shot_noise,0.1667,0.0373,0.1641,7997
shot_noise,0.2333,0.0602,0.2313,5167
shot_noise,0.3000,0.0650,0.2975,3691
shot_noise,0.3667,0.0891,0.3656,2695
shot_noise,0.4333,0.1124,0.4322,2100
shot_noise,0.5000,0.1188,0.4978,1624
shot_noise,0.5667,0.1382,0.5661,1252
shot_noise,0.6333,0.1595,0.6320,1003
shot_noise,0.7000,0.1782,0.6985,881
shot_noise,0.7667,0.2273,0.7657,704
shot_noise,0.8333,0.2360,0.8322,644
shot_noise,0.9000,0.3279,0.9006,555
shot_noise,0.9667,0.5598,0.9704,652
impulse_noise,0.0333,0.0126,0.0450,11117
impulse_noise,0.1000,0.0273,0.0969,13317
impulse_noise,0.1667,0.0484,0.1636,7558
impulse_noise,0.2333,0.0627,0.2311,4846
impulse_noise,0.3000,0.0845,0.2981,3185
impulse_noise,0.3667,0.1087,0.3655,2336
impulse_noise,0.4333,0.1144,0.4311,1731
impulse_noise,0.5000,0.1343,0.4987,1333
impulse_noise,0.5667,0.1512,0.5656,1025
impulse_noise,0.6333,0.1795,0.6308,819
impulse_noise,0.7000,0.1838,0.6985,653
impulse_noise,0.7667,0.2542,0.7657,594
impulse_noise,0.8333,0.2370,0.8328,481
impulse_noise,0.9000,0.3183,0.8999,487
impulse_noise,0.9667,0.5888,0.9711,518
defocus_blur,0.0333,0.0352,0.0408,14736
defocus_blur,0.1000,0.0755,0.0966,11719
defocus_blur,0.1667,0.1154,0.1635,6394
defocus_blur,0.2333,0.1580,0.2309,4058
defocus_blur,0.3000,0.1952,0.2984,2849
defocus_blur,0.3667,0.2207,0.3641,2148
defocus_blur,0.4333,0.2914,0.4324,1575
defocus_blur,0.5000,0.2969,0.4998,1172
defocus_blur,0.5667,0.3557,0.5655,1015
defocus_blur,0.6333,0.3944,0.6327,824
defocus_blur,0.7000,0.4573,0.6993,726
defocus_blur,0.7667,0.5051,0.7671,689
defocus_blur,0.8333,0.5986,0.8328,588
defocus_blur,0.9000,0.6797,0.9008,615
defocus_blur,0.9667,0.8520,0.9739,892
glass_blur,0.0333,0.0221,0.0437,11261
glass_blur,0.1000,0.0418,0.0970,12681
glass_blur,0.1667,0.0582,0.1640,7446
glass_blur,0.2333,0.0856,0.2313,4857
glass_blur,0.3000,0.0966,0.2981,3313
glass_blur,0.3667,0.1151,0.3650,2407
glass_blur,0.4333,0.1411,0.4318,1793
glass_blur,0.5000,0.1569,0.4979,1332
glass_blur,0.5667,0.1872,0.5639,1127
glass_blur,0.6333,0.1995,0.6311,882
glass_blur,0.7000,0.2232,0.6976,690
glass_blur,0.7667,0.2827,0.7662,612
glass_blur,0.8333,0.3277,0.8332,528
glass_blur,0.9000,0.3430,0.9002,481
glass_blur,0.9667,0.6356,0.9709,590
motion_blur,0.0333,0.0280,0.0463,7956
motion_blur,0.1000,0.0504,0.0979,11831
motion_blur,0.1667,0.0838,0.1648,7920
motion_blur,0.2333,0.1042,0.2316,5442
motion_blur,0.3000,0.1381,0.2989,3744
motion_blur,0.3667,0.1564,0.3648,2820
motion_blur,0.4333,0.1954,0.4313,2098
motion_blur,0.5000,0.2315,0.4984,1598
motion_blur,0.5667,0.2494,0.5655,1335
motion_blur,0.6333,0.2960,0.6326,1000
motion_blur,0.7000,0.3708,0.6993,855
motion_blur,0.7667,0.4019,0.7658,826
motion_blur,0.8333,0.4517,0.8339,715
motion_blur,0.9000,0.5637,0.9008,761
motion_blur,0.9667,0.7571,0.9735,1099
zoom_blur,0.0333,0.0385,0.0515,2443
zoom_blur,0.1000,0.0573,0.1007,8237
zoom_blur,0.1667,0.0907,0.1653,7575
zoom_blur,0.2333,0.1305,0.2319,5799
zoom_blur,0.3000,0.1510,0.2987,4608
