corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0106,0.0458,1037
gaussian_noise,0.1000,0.0115,0.0995,1823
gaussian_noise,0.1667,0.0270,0.1663,1480
gaussian_noise,0.2333,0.0273,0.2330,1318
gaussian_noise,0.3000,0.0222,0.2992,1173
gaussian_noise,0.3667,0.0168,0.3661,1192
gaussian_noise,0.4333,0.0209,0.4333,1148
gaussian_noise,0.5000,0.0162,0.5009,1358
gaussian_noise,0.5667,0.0241,0.5667,1409
gaussian_noise,0.6333,0.0157,0.6335,1277
gaussian_noise,0.7000,0.0080,0.6999,1369
gaussian_noise,0.7667,0.0155,0.7680,1546
gaussian_noise,0.8333,0.0076,0.8354,1839
gaussian_noise,0.9000,0.0087,0.9032,2762
gaussian_noise,0.9667,0.0028,0.9928,29269
shot_noise,0.0333,0.0132,0.0466,984
shot_noise,0.1000,0.0176,0.0995,1652
shot_noise,0.1667,0.0172,0.1666,1334
shot_noise,0.2333,0.0235,0.2324,1147
shot_noise,0.3000,0.0346,0.2987,1041
shot_noise,0.3667,0.0329,0.3667,1004
shot_noise,0.4333,0.0234,0.4336,982
shot_noise,0.5000,0.0231,0.5012,1127
shot_noise,0.5667,0.0199,0.5667,1154
shot_noise,0.6333,0.0203,0.6337,1085
shot_noise,0.7000,0.0155,0.6998,1099
shot_noise,0.7667,0.0120,0.7672,1170
shot_noise,0.8333,0.0123,0.8348,1381
shot_noise,0.9000,0.0095,0.9032,2201
shot_noise,0.9667,0.0021,0.9947,32639
impulse_noise,0.0333,0.0155,0.0468,970
impulse_noise,0.1000,0.0206,0.0996,1696
impulse_noise,0.1667,0.0158,0.1653,1454
impulse_noise,0.2333,0.0290,0.2335,1174
impulse_noise,0.3000,0.0238,0.2991,1050
impulse_noise,0.3667,0.0163,0.3658,984
impulse_noise,0.4333,0.0241,0.4334,997
impulse_noise,0.5000,0.0122,0.5020,1063
impulse_noise,0.5667,0.0126,0.5657,1110
impulse_noise,0.6333,0.0165,0.6336,1154
impulse_noise,0.7000,0.0141,0.7007,1138
impulse_noise,0.7667,0.0167,0.7680,1315
impulse_noise,0.8333,0.0068,0.8347,1621
impulse_noise,0.9000,0.0054,0.9025,2396
impulse_noise,0.9667,0.0026,0.9941,31878
defocus_blur,0.0333,0.0052,0.0490,577
defocus_blur,0.1000,0.0091,0.1001,1436
defocus_blur,0.1667,0.0081,0.1654,1354
