corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0202,0.0477,1978
gaussian_noise,0.1000,0.0295,0.0999,4069
gaussian_noise,0.1667,0.0483,0.1652,3602
gaussian_noise,0.2333,0.0489,0.2326,2945
gaussian_noise,0.3000,0.0531,0.2995,2503
gaussian_noise,0.3667,0.0575,0.3659,2140
gaussian_noise,0.4333,0.0578,0.4351,1730
gaussian_noise,0.5000,0.0413,0.5000,1939
gaussian_noise,0.5667,0.0463,0.5655,1900
gaussian_noise,0.6333,0.0501,0.6330,1675
gaussian_noise,0.7000,0.0467,0.6996,1672
gaussian_noise,0.7667,0.0435,0.7669,1701
gaussian_noise,0.8333,0.0367,0.8341,1990
gaussian_noise,0.9000,0.0396,0.9023,2449
gaussian_noise,0.9667,0.0093,0.9902,17707
impulse_noise,0.0333,0.0218,0.0486,2062
impulse_noise,0.1000,0.0289,0.0999,4326
impulse_noise,0.1667,0.0456,0.1650,3748
impulse_noise,0.2333,0.0428,0.2317,2968
impulse_noise,0.3000,0.0539,0.2987,2448
impulse_noise,0.3667,0.0621,0.3655,2125
impulse_noise,0.4333,0.0581,0.4354,1617
impulse_noise,0.5000,0.0494,0.5000,1782
impulse_noise,0.5667,0.0504,0.5662,1667
impulse_noise,0.6333,0.0436,0.6317,1607
impulse_noise,0.7000,0.0686,0.7000,1486
impulse_noise,0.7667,0.0552,0.7669,1593
impulse_noise,0.8333,0.0471,0.8344,1720
impulse_noise,0.9000,0.0292,0.9018,2397
impulse_noise,0.9667,0.0064,0.9911,18454
glass_blur,0.0333,0.0216,0.0483,1855
glass_blur,0.1000,0.0252,0.0992,3810
glass_blur,0.1667,0.0262,0.1657,3288
glass_blur,0.2333,0.0348,0.2323,2669
glass_blur,0.3000,0.0404,0.2982,2130
glass_blur,0.3667,0.0353,0.3668,1839
glass_blur,0.4333,0.0437,0.4358,1349
glass_blur,0.5000,0.0353,0.4996,1644
glass_blur,0.5667,0.0339,0.5658,1563
glass_blur,0.6333,0.0367,0.6325,1362
glass_blur,0.7000,0.0243,0.7003,1481
glass_blur,0.7667,0.0269,0.7664,1450
glass_blur,0.8333,0.0244,0.8342,1677
glass_blur,0.9000,0.0191,0.9029,2300
glass_blur,0.9667,0.0040,0.9921,21583
