corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0333,0.0497,1951
gaussian_noise,0.1000,0.0741,0.1012,5643
gaussian_noise,0.1667,0.1129,0.1658,5482
gaussian_noise,0.2333,0.1463,0.2321,4819
gaussian_noise,0.3000,0.1888,0.2994,4137
gaussian_noise,0.3667,0.2326,0.3660,3625
gaussian_noise,0.4333,0.2924,0.4323,3256
gaussian_noise,0.5000,0.3238,0.4986,2915
gaussian_noise,0.5667,0.3649,0.5658,2417
gaussian_noise,0.6333,0.4191,0.6331,2293
gaussian_noise,0.7000,0.4797,0.6993,1945
gaussian_noise,0.7667,0.5325,0.7669,1938
gaussian_noise,0.8333,0.6021,0.8332,1983
gaussian_noise,0.9000,0.7017,0.9008,2209
gaussian_noise,0.9667,0.8855,0.9789,5387
impulse_noise,0.0333,0.0422,0.0505,1637
impulse_noise,0.1000,0.0640,0.1016,5826
impulse_noise,0.1667,0.0998,0.1662,5802
impulse_noise,0.2333,0.1483,0.2324,5023
impulse_noise,0.3000,0.1981,0.2989,4286
impulse_noise,0.3667,0.2387,0.3654,3595
impulse_noise,0.4333,0.2785,0.4328,3268
impulse_noise,0.5000,0.3380,0.4994,2911
impulse_noise,0.5667,0.3843,0.5657,2581
impulse_noise,0.6333,0.4144,0.6330,2174
impulse_noise,0.7000,0.4771,0.6990,1945
impulse_noise,0.7667,0.5206,0.7669,1913
impulse_noise,0.8333,0.5855,0.8335,1882
impulse_noise,0.9000,0.6969,0.9015,2197
impulse_noise,0.9667,0.8810,0.9779,4960
glass_blur,0.0333,0.0304,0.0493,4079
glass_blur,0.1000,0.0458,0.0996,9903
glass_blur,0.1667,0.0775,0.1648,7921
glass_blur,0.2333,0.1045,0.2312,5827
glass_blur,0.3000,0.1321,0.2984,4360
glass_blur,0.3667,0.1595,0.3649,3430
glass_blur,0.4333,0.1889,0.4318,2673
glass_blur,0.5000,0.2182,0.4992,2255
glass_blur,0.5667,0.2518,0.5661,1847
glass_blur,0.6333,0.3120,0.6318,1545
glass_blur,0.7000,0.3349,0.6982,1314
glass_blur,0.7667,0.3933,0.7664,1134
glass_blur,0.8333,0.4142,0.8333,1084
glass_blur,0.9000,0.5417,0.9006,1008
glass_blur,0.9667,0.7420,0.9738,1620
