corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0216,0.0478,1894
gaussian_noise,0.1000,0.0284,0.0998,3950
gaussian_noise,0.1667,0.0449,0.1648,3494
gaussian_noise,0.2333,0.0509,0.2326,2949
gaussian_noise,0.3000,0.0507,0.2992,2466
gaussian_noise,0.3667,0.0594,0.3655,2139
gaussian_noise,0.4333,0.0530,0.4331,1982
gaussian_noise,0.5000,0.0442,0.5001,1993
gaussian_noise,0.5667,0.0475,0.5655,1915
gaussian_noise,0.6333,0.0520,0.6329,1691
gaussian_noise,0.7000,0.0461,0.6997,1672
gaussian_noise,0.7667,0.0463,0.7668,1706
gaussian_noise,0.8333,0.0362,0.8341,1990
gaussian_noise,0.9000,0.0404,0.9023,2451
gaussian_noise,0.9667,0.0094,0.9902,17708
impulse_noise,0.0333,0.0203,0.0487,1968
impulse_noise,0.1000,0.0300,0.0998,4207
impulse_noise,0.1667,0.0432,0.1650,3683
impulse_noise,0.2333,0.0437,0.2320,2955
impulse_noise,0.3000,0.0555,0.2988,2416
impulse_noise,0.3667,0.0641,0.3661,2123
impulse_noise,0.4333,0.0479,0.4335,1857
impulse_noise,0.5000,0.0522,0.4998,1839
impulse_noise,0.5667,0.0555,0.5663,1676
impulse_noise,0.6333,0.0415,0.6316,1615
impulse_noise,0.7000,0.0704,0.7000,1492
impulse_noise,0.7667,0.0558,0.7669,1595
impulse_noise,0.8333,0.0482,0.8344,1723
impulse_noise,0.9000,0.0292,0.9018,2397
impulse_noise,0.9667,0.0064,0.9911,18454
glass_blur,0.0333,0.0187,0.0484,1763
glass_blur,0.1000,0.0259,0.0991,3710
glass_blur,0.1667,0.0269,0.1655,3234
glass_blur,0.2333,0.0317,0.2323,2620
glass_blur,0.3000,0.0402,0.2985,2139
glass_blur,0.3667,0.0389,0.3666,1800
glass_blur,0.4333,0.0376,0.4331,1623
glass_blur,0.5000,0.0364,0.4997,1674
glass_blur,0.5667,0.0312,0.5658,1573
glass_blur,0.6333,0.0388,0.6326,1365
glass_blur,0.7000,0.0282,0.7003,1488
glass_blur,0.7667,0.0269,0.7664,1451
glass_blur,0.8333,0.0244,0.8342,1677
glass_blur,0.9000,0.0191,0.9029,2300
glass_blur,0.9667,0.0040,0.9921,21583
