corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0384,0.0475,1693
gaussian_noise,0.1000,0.0621,0.1009,4202
gaussian_noise,0.1667,0.0898,0.1665,4308
gaussian_noise,0.2333,0.1237,0.2326,4081
gaussian_noise,0.3000,0.1545,0.2999,3845
gaussian_noise,0.3667,0.1943,0.3661,3577
gaussian_noise,0.4333,0.2382,0.4334,3081
gaussian_noise,0.5000,0.2730,0.4997,3007
gaussian_noise,0.5667,0.3235,0.5655,2708
gaussian_noise,0.6333,0.3616,0.6328,2528
gaussian_noise,0.7000,0.4065,0.6998,2364
gaussian_noise,0.7667,0.4844,0.7670,2473
gaussian_noise,0.8333,0.5226,0.8344,2694
gaussian_noise,0.9000,0.6484,0.9014,3444
gaussian_noise,0.9667,0.8095,0.9695,5995
shot_noise,0.0333,0.0316,0.0474,1614
shot_noise,0.1000,0.0506,0.1014,4171
shot_noise,0.1667,0.0814,0.1667,4384
shot_noise,0.2333,0.1146,0.2331,4120
shot_noise,0.3000,0.1403,0.2998,3956
shot_noise,0.3667,0.1844,0.3665,3497
shot_noise,0.4333,0.2062,0.4329,3278
shot_noise,0.5000,0.2656,0.4986,3166
shot_noise,0.5667,0.3099,0.5662,2665
shot_noise,0.6333,0.3324,0.6334,2437
shot_noise,0.7000,0.3905,0.6999,2333
shot_noise,0.7667,0.4353,0.7673,2442
shot_noise,0.8333,0.5220,0.8339,2686
shot_noise,0.9000,0.6354,0.9017,3483
shot_noise,0.9667,0.7845,0.9694,5768
impulse_noise,0.0333,0.0425,0.0474,1646
impulse_noise,0.1000,0.0602,0.1007,4086
impulse_noise,0.1667,0.0986,0.1666,4209
impulse_noise,0.2333,0.1328,0.2330,3947
impulse_noise,0.3000,0.1675,0.2998,3786
impulse_noise,0.3667,0.2063,0.3656,3495
impulse_noise,0.4333,0.2626,0.4326,3382
impulse_noise,0.5000,0.2893,0.5001,2952
impulse_noise,0.5667,0.3240,0.5662,2778
impulse_noise,0.6333,0.3754,0.6329,2520
impulse_noise,0.7000,0.4127,0.6998,2377
impulse_noise,0.7667,0.4980,0.7672,2524
impulse_noise,0.8333,0.5477,0.8347,2759
impulse_noise,0.9000,0.6576,0.9018,3528
impulse_noise,0.9667,0.8150,0.9694,6011
defocus_blur,0.0333,0.0286,0.0497,1436
defocus_blur,0.1000,0.0632,0.1005,4052
defocus_blur,0.1667,0.0840,0.1665,4166
defocus_blur,0.2333,0.1174,0.2329,3902
defocus_blur,0.3000,0.1443,0.2990,3651
defocus_blur,0.3667,0.1682,0.3662,3478
defocus_blur,0.4333,0.2257,0.4329,3261
defocus_blur,0.5000,0.2483,0.4990,2984
defocus_blur,0.5667,0.2832,0.5664,2715
defocus_blur,0.6333,0.3380,0.6331,2565
defocus_blur,0.7000,0.3935,0.6995,2404
defocus_blur,0.7667,0.4308,0.7665,2377
defocus_blur,0.8333,0.4759,0.8341,2681
defocus_blur,0.9000,0.6257,0.9022,3796
defocus_blur,0.9667,0.8001,0.9699,6532
glass_blur,0.0333,0.0273,0.0501,1098
glass_blur,0.1000,0.0400,0.1011,3421
glass_blur,0.1667,0.0605,0.1666,3720
glass_blur,0.2333,0.0837,0.2329,3562
glass_blur,0.3000,0.0991,0.2995,3379
glass_blur,0.3667,0.1206,0.3668,3168
glass_blur,0.4333,0.1500,0.4335,2986
glass_blur,0.5000,0.1518,0.4997,2773
