corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0497,0.0453,8067
gaussian_noise,0.1000,0.1082,0.0968,11064
gaussian_noise,0.1667,0.2015,0.1651,6455
gaussian_noise,0.2333,0.2958,0.2318,4723
gaussian_noise,0.3000,0.3686,0.2987,3676
gaussian_noise,0.3667,0.4497,0.3657,3071
gaussian_noise,0.4333,0.5275,0.4322,2491
gaussian_noise,0.5000,0.5932,0.4983,2087
gaussian_noise,0.5667,0.6545,0.5649,1812
gaussian_noise,0.6333,0.7119,0.6337,1576
gaussian_noise,0.7000,0.7981,0.7002,1491
gaussian_noise,0.7667,0.8607,0.7675,1500
gaussian_noise,0.8333,0.9232,0.8330,1498
gaussian_noise,0.9000,0.9489,0.8832,470
gaussian_noise,0.9667,0.9474,0.9509,19
shot_noise,0.0333,0.0440,0.0451,7113
shot_noise,0.1000,0.0972,0.0975,10008
shot_noise,0.1667,0.1641,0.1647,6454
shot_noise,0.2333,0.2369,0.2319,5007
shot_noise,0.3000,0.2963,0.2989,3726
shot_noise,0.3667,0.3673,0.3661,3123
shot_noise,0.4333,0.4406,0.4324,2608
shot_noise,0.5000,0.4984,0.4994,2225
shot_noise,0.5667,0.5657,0.5664,1909
shot_noise,0.6333,0.6680,0.6333,1744
shot_noise,0.7000,0.7307,0.7003,1675
shot_noise,0.7667,0.8229,0.7679,1722
shot_noise,0.8333,0.9141,0.8338,1945
shot_noise,0.9000,0.9411,0.8846,730
shot_noise,0.9667,0.8182,0.9428,11
impulse_noise,0.0333,0.0579,0.0456,8192
impulse_noise,0.1000,0.1213,0.0974,11477
impulse_noise,0.1667,0.2342,0.1645,6758
impulse_noise,0.2333,0.3217,0.2314,4849
impulse_noise,0.3000,0.4025,0.2987,3789
impulse_noise,0.3667,0.5026,0.3653,3072
impulse_noise,0.4333,0.5915,0.4324,2612
impulse_noise,0.5000,0.6599,0.4991,2026
impulse_noise,0.5667,0.7024,0.5655,1687
impulse_noise,0.6333,0.7459,0.6330,1452
impulse_noise,0.7000,0.8004,0.6997,1363
impulse_noise,0.7667,0.8794,0.7671,1260
impulse_noise,0.8333,0.9267,0.8321,1132
impulse_noise,0.9000,0.9505,0.8833,323
impulse_noise,0.9667,0.8750,0.9461,8
defocus_blur,0.0333,0.0423,0.0473,4515
defocus_blur,0.1000,0.0852,0.0988,7832
defocus_blur,0.1667,0.1288,0.1651,6163
defocus_blur,0.2333,0.1742,0.2323,4902
defocus_blur,0.3000,0.2192,0.2984,4010
defocus_blur,0.3667,0.2650,0.3657,3287
defocus_blur,0.4333,0.3311,0.4323,2887
defocus_blur,0.5000,0.3979,0.4998,2473
defocus_blur,0.5667,0.4532,0.5654,2149
defocus_blur,0.6333,0.5010,0.6331,2016
defocus_blur,0.7000,0.5687,0.7006,2052
defocus_blur,0.7667,0.6742,0.7674,2066
defocus_blur,0.8333,0.8065,0.8352,2775
defocus_blur,0.9000,0.9110,0.8926,2765
defocus_blur,0.9667,0.8519,0.9428,108
glass_blur,0.0333,0.0290,0.0482,3966
glass_blur,0.1000,0.0497,0.0991,8163
glass_blur,0.1667,0.0791,0.1656,6413
glass_blur,0.2333,0.1088,0.2324,5191
glass_blur,0.3000,0.1389,0.2991,4218
glass_blur,0.3667,0.1785,0.3662,3558
glass_blur,0.4333,0.2179,0.4330,3112
glass_blur,0.5000,0.2427,0.4989,2501
glass_blur,0.5667,0.2917,0.5662,2321
glass_blur,0.6333,0.3587,0.6318,2077
glass_blur,0.7000,0.4144,0.7000,1969
glass_blur,0.7667,0.4934,0.7662,1905
glass_blur,0.8333,0.6514,0.8363,2424
glass_blur,0.9000,0.7624,0.8921,2062
glass_blur,0.9667,0.6500,0.9441,120
motion_blur,0.0333,0.0454,0.0503,2027
motion_blur,0.1000,0.0740,0.1009,6301
motion_blur,0.1667,0.1055,0.1657,6343
motion_blur,0.2333,0.1494,0.2323,5273
motion_blur,0.3000,0.1946,0.2994,4512
motion_blur,0.3667,0.2275,0.3659,3631
motion_blur,0.4333,0.2857,0.4322,3206
motion_blur,0.5000,0.3478,0.4990,2688
motion_blur,0.5667,0.4109,0.5664,2385
motion_blur,0.6333,0.4607,0.6330,2127
motion_blur,0.7000,0.5635,0.7000,2055
motion_blur,0.7667,0.6429,0.7678,2268
motion_blur,0.8333,0.7893,0.8358,3099
motion_blur,0.9000,0.9007,0.8955,3787
motion_blur,0.9667,0.8725,0.9442,298
zoom_blur,0.0333,0.0355,0.0510,1747
zoom_blur,0.1000,0.0665,0.1005,5789
zoom_blur,0.1667,0.1055,0.1657,5565
zoom_blur,0.2333,0.1475,0.2326,4806
zoom_blur,0.3000,0.1914,0.2994,4184
zoom_blur,0.3667,0.2407,0.3658,3701
zoom_blur,0.4333,0.2790,0.4329,3398
zoom_blur,0.5000,0.3401,0.4987,2893
zoom_blur,0.5667,0.3897,0.5660,2653
zoom_blur,0.6333,0.4604,0.6339,2526
zoom_blur,0.7000,0.5428,0.7004,2618
zoom_blur,0.7667,0.6571,0.7682,2896
zoom_blur,0.8333,0.7859,0.8349,3876
zoom_blur,0.9000,0.8394,0.8935,3082
zoom_blur,0.9667,0.7970,0.9458,266
snow,0.0333,0.0469,0.0487,1557
snow,0.1000,0.0764,0.1013,4933
snow,0.1667,0.1260,0.1666,4999
snow,0.2333,0.1749,0.2328,4447
snow,0.3000,0.2164,0.2998,4122
snow,0.3667,0.2743,0.3657,3770
snow,0.4333,0.3349,0.4327,3535
snow,0.5000,0.3977,0.4996,3090
snow,0.5667,0.4714,0.5662,2853
snow,0.6333,0.5306,0.6336,2793
snow,0.7000,0.6219,0.7004,2938
