corruption,bin_mid,bin_acc,bin_conf,bin_count
gaussian_noise,0.0333,0.0388,0.0474,1676
gaussian_noise,0.1000,0.0618,0.1009,4192
gaussian_noise,0.1667,0.0895,0.1666,4301
gaussian_noise,0.2333,0.1233,0.2326,4071
gaussian_noise,0.3000,0.1534,0.2997,3826
gaussian_noise,0.3667,0.1937,0.3658,3577
gaussian_noise,0.4333,0.2403,0.4332,3117
gaussian_noise,0.5000,0.2719,0.4998,3012
gaussian_noise,0.5667,0.3219,0.5656,2703
gaussian_noise,0.6333,0.3636,0.6328,2541
gaussian_noise,0.7000,0.4062,0.6999,2368
gaussian_noise,0.7667,0.4823,0.7670,2461
gaussian_noise,0.8333,0.5235,0.8343,2705
gaussian_noise,0.9000,0.6482,0.9014,3445
gaussian_noise,0.9667,0.8098,0.9695,6005
shot_noise,0.0333,0.0312,0.0474,1602
shot_noise,0.1000,0.0505,0.1014,4161
shot_noise,0.1667,0.0819,0.1666,4360
shot_noise,0.2333,0.1143,0.2330,4130
shot_noise,0.3000,0.1396,0.2998,3953
shot_noise,0.3667,0.1833,0.3666,3502
shot_noise,0.4333,0.2047,0.4328,3264
shot_noise,0.5000,0.2661,0.4984,3187
shot_noise,0.5667,0.3100,0.5661,2671
shot_noise,0.6333,0.3329,0.6333,2442
shot_noise,0.7000,0.3905,0.6999,2338
shot_noise,0.7667,0.4338,0.7673,2439
shot_noise,0.8333,0.5229,0.8339,2691
shot_noise,0.9000,0.6351,0.9017,3480
shot_noise,0.9667,0.7848,0.9693,5780
impulse_noise,0.0333,0.0429,0.0474,1631
impulse_noise,0.1000,0.0602,0.1007,4073
impulse_noise,0.1667,0.0978,0.1666,4193
impulse_noise,0.2333,0.1317,0.2330,3949
impulse_noise,0.3000,0.1672,0.2999,3780
impulse_noise,0.3667,0.2061,0.3655,3489
impulse_noise,0.4333,0.2625,0.4325,3391
impulse_noise,0.5000,0.2892,0.5000,2970
impulse_noise,0.5667,0.3253,0.5662,2782
impulse_noise,0.6333,0.3711,0.6329,2514
impulse_noise,0.7000,0.4141,0.6997,2386
impulse_noise,0.7667,0.4980,0.7672,2526
impulse_noise,0.8333,0.5493,0.8347,2771
impulse_noise,0.9000,0.6570,0.9018,3525
impulse_noise,0.9667,0.8153,0.9694,6020
defocus_blur,0.0333,0.0275,0.0496,1417
defocus_blur,0.1000,0.0630,0.1003,4050
defocus_blur,0.1667,0.0852,0.1664,4156
defocus_blur,0.2333,0.1161,0.2328,3903
defocus_blur,0.3000,0.1461,0.2990,3649
defocus_blur,0.3667,0.1673,0.3662,3478
defocus_blur,0.4333,0.2253,0.4329,3263
defocus_blur,0.5000,0.2497,0.4989,2992
defocus_blur,0.5667,0.2817,0.5665,2723
defocus_blur,0.6333,0.3381,0.6332,2570
defocus_blur,0.7000,0.3928,0.6995,2401
defocus_blur,0.7667,0.4296,0.7664,2372
defocus_blur,0.8333,0.4777,0.8341,2694
defocus_blur,0.9000,0.6251,0.9023,3790
defocus_blur,0.9667,0.8002,0.9699,6542
