corruption,src_acc,src_ece,tent_acc,tent_ece,cgt_acc,cgt_ece,cgt_gate_rate,delta_acc,delta_ece
gaussian_noise,0.324400,0.047745,0.330280,0.176567,0.330100,0.176258,0.315360,-0.000180,0.000308
shot_noise,0.308000,0.009669,0.311280,0.192880,0.311160,0.192562,0.305380,-0.000120,0.000318
impulse_noise,0.335800,0.072864,0.343500,0.167847,0.343320,0.167508,0.316620,-0.000180,0.000339
defocus_blur,0.311780,0.058839,0.323740,0.196790,0.323540,0.196619,0.293460,-0.000200,0.000171
glass_blur,0.210120,0.147346,0.186540,0.375523,0.186760,0.374892,0.481980,0.000220,0.000631
motion_blur,0.325260,0.086733,0.302420,0.298611,0.302520,0.298139,0.439040,0.000100,0.000471
zoom_blur,0.334660,0.098017,0.275240,0.385204,0.275340,0.384739,0.494840,0.000100,0.000465
snow,0.393300,0.060119,0.393240,0.208418,0.393160,0.208131,0.319580,-0.000080,0.000288
frost,0.523640,0.138982,0.535240,0.084776,0.535080,0.084338,0.155280,-0.000160,0.000438
fog,0.500580,0.270945,0.582240,0.060591,0.581980,0.061182,0.236020,-0.000260,-0.000591
brightness,0.692160,0.048637,0.694580,0.065594,0.694540,0.065306,0.087160,-0.000040,0.000287
contrast,0.192440,0.130525,0.053500,0.731253,0.053620,0.730696,0.755740,0.000120,0.000557
elastic_transform,0.395280,0.105730,0.399500,0.223441,0.399300,0.223292,0.340780,-0.000200,0.000149
pixelate,0.420140,0.053217,0.420480,0.186904,0.420360,0.186650,0.297180,-0.000120,0.000254
jpeg_compression,0.521980,0.039534,0.526720,0.138209,0.526640,0.137924,0.185360,-0.000080,0.000285
