corruption,src_acc,src_ece,tent_acc,tent_ece,cgt_acc,cgt_ece,cgt_gate_rate,delta_acc,delta_ece
gaussian_noise,0.056760,0.150723,0.008180,0.783628,0.008080,0.779199,0.820580,-0.000100,0.004429
shot_noise,0.064920,0.177165,0.007860,0.811821,0.007980,0.807546,0.839440,0.000120,0.004276
impulse_noise,0.064420,0.149797,0.007280,0.807502,0.007200,0.803229,0.836480,-0.000080,0.004273
defocus_blur,0.150300,0.062860,0.005300,0.830660,0.005380,0.826664,0.851160,0.000080,0.003996
glass_blur,0.082280,0.136911,0.007640,0.807430,0.007520,0.803577,0.841640,-0.000120,0.003853
motion_blur,0.133000,0.125221,0.005240,0.856714,0.005320,0.853382,0.880640,0.000080,0.003333
zoom_blur,0.228520,0.135257,0.015260,0.760189,0.015240,0.755533,0.792420,-0.000020,0.004656
snow,0.155940,0.196670,0.009840,0.835511,0.009900,0.832314,0.877900,0.000060,0.003197
frost,0.204380,0.147027,0.008960,0.875420,0.009000,0.872611,0.901760,0.000040,0.002810
fog,0.222160,0.162402,0.020360,0.741611,0.020400,0.736729,0.775100,0.000040,0.004882
brightness,0.556420,0.042645,0.027160,0.755236,0.027220,0.750554,0.786300,0.000060,0.004683
contrast,0.042220,0.065018,0.003400,0.899298,0.003400,0.896586,0.933860,0.000000,0.002711
elastic_transform,0.143180,0.251672,0.018420,0.764066,0.018420,0.759681,0.803820,0.000000,0.004385
pixelate,0.229860,0.132389,0.011580,0.813737,0.011480,0.809849,0.836120,-0.000100,0.003888
jpeg_compression,0.345440,0.086596,0.012420,0.790381,0.012460,0.786394,0.824040,0.000040,0.003987
