corruption,Baseline,TENT,EATA,CoTTA,SAR
gaussian_noise,20.96,4.53,10.71,20.56,31.46
shot_noise,21.30,0.16,0.22,18.69,41.16
impulse_noise,20.96,0.11,0.12,17.25,42.66
defocus_blur,18.92,0.21,0.91,15.00,15.05
glass_blur,9.46,0.10,0.39,7.68,17.40
motion_blur,20.45,0.10,0.25,16.64,4.98
zoom_blur,25.44,0.10,0.31,23.25,1.80
snow,37.95,0.10,0.63,32.31,22.05
frost,44.54,0.10,0.10,39.46,39.80
fog,34.28,0.10,0.10,33.32,50.84
brightness,67.50,0.10,0.10,64.82,69.92
contrast,33.17,0.10,0.10,28.48,44.62
elastic_transform,17.59,0.10,0.10,14.77,13.78
pixelate,34.10,0.10,0.10,39.64,1.30
jpeg_compression,51.05,0.10,0.10,50.11,38.33
Mean,30.51,0.41,0.95,28.13,29.01
