corruption,Baseline,TENT,EATA,CoTTA,RoTTA,SAR,ContinualTTA
gaussian_noise,12.30,37.32,43.99,10.21,8.53,40.67,42.58
shot_noise,14.50,35.62,47.34,11.70,8.01,42.28,39.17
impulse_noise,8.12,24.60,27.82,6.90,6.39,32.76,32.76
defocus_blur,36.16,62.25,66.03,22.56,26.66,70.42,66.56
glass_blur,19.77,31.44,32.85,14.23,12.16,38.97,37.88
motion_blur,46.37,57.83,62.06,26.91,34.80,65.08,63.44
zoom_blur,48.08,62.61,67.61,30.49,34.38,70.92,66.23
snow,57.49,58.30,64.07,52.04,54.45,60.36,59.13
frost,46.34,53.43,57.50,37.16,41.14,61.50,56.12
fog,56.52,60.47,64.36,40.91,55.78,63.52,63.63
brightness,75.40,68.86,71.01,69.69,72.61,75.40,71.20
contrast,36.31,50.76,65.74,27.75,26.86,71.94,57.55
elastic_transform,46.31,41.11,48.46,28.20,38.85,51.67,30.55
pixelate,20.34,56.74,61.22,14.47,15.05,57.03,58.05
jpeg_compression,42.59,37.24,46.34,33.92,40.71,45.35,36.69
Mean,37.77,49.24,55.09,28.48,31.76,56.52,52.10
