block,severity,corruption,drift,accuracy,gate_rate
1,1,gaussian_noise,0.000000,80.2800,
2,1,shot_noise,0.000000,88.6600,
3,1,impulse_noise,0.000000,78.1200,
4,1,defocus_blur,0.000000,97.1500,
5,1,glass_blur,0.000000,59.4700,
6,1,motion_blur,0.000000,94.4700,
7,1,zoom_blur,0.000000,93.4400,
8,1,snow,0.000000,94.9100,
9,1,frost,0.000000,95.4700,
10,1,fog,0.000000,97.1000,
11,1,brightness,0.000000,97.2500,
12,1,contrast,0.000000,96.9000,
13,1,elastic_transform,0.000000,94.3800,
14,1,pixelate,0.000000,94.6800,
15,1,jpeg_compression,0.000000,86.8700,
16,2,gaussian_noise,0.000000,59.3300,
17,2,shot_noise,0.000000,79.5400,
18,2,impulse_noise,0.000000,59.6300,
19,2,defocus_blur,0.000000,96.2400,
20,2,glass_blur,0.000000,61.2800,
21,2,motion_blur,0.000000,89.3400,
22,2,zoom_blur,0.000000,92.2400,
23,2,snow,0.000000,91.3400,
24,2,frost,0.000000,92.9900,
25,2,fog,0.000000,96.3600,
26,2,brightness,0.000000,96.9000,
27,2,contrast,0.000000,95.2500,
28,2,elastic_transform,0.000000,93.9600,
29,2,pixelate,0.000000,86.1800,
30,2,jpeg_compression,0.000000,79.6900,
31,3,gaussian_noise,0.000000,40.3500,
32,3,shot_noise,0.000000,55.3300,
33,3,impulse_noise,0.000000,47.0600,
34,3,defocus_blur,0.000000,93.8400,
35,3,glass_blur,0.000000,64.3900,
36,3,motion_blur,0.000000,81.2500,
37,3,zoom_blur,0.000000,89.6300,
38,3,snow,0.000000,91.4500,
39,3,frost,0.000000,87.9100,
40,3,fog,0.000000,95.1700,
41,3,brightness,0.000000,96.3900,
42,3,contrast,0.000000,93.8100,
43,3,elastic_transform,0.000000,91.2900,
44,3,pixelate,0.000000,78.3300,
45,3,jpeg_compression,0.000000,76.5700,
46,4,gaussian_noise,0.000000,32.9100,
47,4,shot_noise,0.000000,45.2700,
48,4,impulse_noise,0.000000,31.1900,
49,4,defocus_blur,0.000000,89.4400,
50,4,glass_blur,0.000000,47.3800,
51,4,motion_blur,0.000000,81.1200,
52,4,zoom_blur,0.000000,86.6400,
53,4,snow,0.000000,88.9200,
54,4,frost,0.000000,86.9300,
55,4,fog,0.000000,92.6900,
56,4,brightness,0.000000,95.7200,
57,4,contrast,0.000000,90.1200,
58,4,elastic_transform,0.000000,82.3100,
59,4,pixelate,0.000000,48.8000,
60,4,jpeg_compression,0.000000,73.2900,
61,5,gaussian_noise,0.000000,26.8700,
62,5,shot_noise,0.000000,31.7800,
63,5,impulse_noise,0.000000,20.6900,
64,5,defocus_blur,0.000000,75.6500,
65,5,glass_blur,0.000000,50.0000,
66,5,motion_blur,0.000000,71.7300,
67,5,zoom_blur,0.000000,80.3500,
68,5,snow,0.000000,86.9500,
69,5,frost,0.000000,80.3700,
70,5,fog,0.000000,83.4900,
71,5,brightness,0.000000,93.3400,
72,5,contrast,0.000000,66.9600,
73,5,elastic_transform,0.000000,72.1100,
74,5,pixelate,0.000000,27.1400,
75,5,jpeg_compression,0.000000,68.1900,
