block,severity,corruption,drift,accuracy,gate_rate
1,1,gaussian_noise,0.002821,85.2000,0.063898
2,1,shot_noise,0.004756,88.7000,0.102236
3,1,impulse_noise,0.006897,89.8000,0.143770
4,1,defocus_blur,0.008472,94.5000,0.217252
5,1,glass_blur,0.008664,75.2700,0.019169
6,1,motion_blur,0.010465,92.4600,0.175719
7,1,zoom_blur,0.011890,92.3600,0.172524
8,1,snow,0.013466,91.9600,0.188498
9,1,frost,0.014874,92.7300,0.182109
10,1,fog,0.016179,94.6800,0.246006
11,1,brightness,0.017404,94.7300,0.258786
12,1,contrast,0.018644,94.7200,0.252396
13,1,elastic_transform,0.019969,91.6400,0.185304
14,1,pixelate,0.021426,93.2900,0.210863
15,1,jpeg_compression,0.022363,84.5300,0.092652
16,2,gaussian_noise,0.023207,80.1100,0.060703
17,2,shot_noise,0.024778,86.8800,0.137380
18,2,impulse_noise,0.026140,86.1900,0.127796
19,2,defocus_blur,0.027225,93.4600,0.246006
20,2,glass_blur,0.027856,76.5300,0.070288
21,2,motion_blur,0.029154,89.8100,0.188498
22,2,zoom_blur,0.029977,91.7200,0.194888
23,2,snow,0.030944,88.3400,0.156550
24,2,frost,0.032067,89.8300,0.185304
25,2,fog,0.032647,93.3900,0.255591
26,2,brightness,0.033097,93.9500,0.265176
27,2,contrast,0.033757,93.6200,0.271565
28,2,elastic_transform,0.034545,91.2800,0.188498
29,2,pixelate,0.035532,91.4500,0.210863
30,2,jpeg_compression,0.036126,79.6700,0.067093
31,3,gaussian_noise,0.036804,74.1600,0.047923
32,3,shot_noise,0.037996,78.3700,0.099042
33,3,impulse_noise,0.038843,81.7000,0.079872
34,3,defocus_blur,0.039715,92.0600,0.265176
35,3,glass_blur,0.040473,78.6000,0.092652
36,3,motion_blur,0.041616,86.8700,0.169329
37,3,zoom_blur,0.042315,90.3200,0.210863
38,3,snow,0.043161,87.8700,0.201278
39,3,frost,0.043967,87.2300,0.159744
40,3,fog,0.044651,92.6300,0.246006
41,3,brightness,0.045062,93.3100,0.290735
42,3,contrast,0.045610,93.0800,0.274760
43,3,elastic_transform,0.046213,90.2700,0.210863
44,3,pixelate,0.046971,90.7300,0.220447
45,3,jpeg_compression,0.047543,78.4800,0.070288
46,4,gaussian_noise,0.048050,71.2400,0.044728
47,4,shot_noise,0.048828,75.3000,0.076677
48,4,impulse_noise,0.049260,75.7900,0.054313
49,4,defocus_blur,0.050199,90.1800,0.207668
50,4,glass_blur,0.050920,69.6300,0.079872
51,4,motion_blur,0.051710,86.9700,0.153355
52,4,zoom_blur,0.052361,89.0900,0.191693
53,4,snow,0.052964,85.8900,0.153355
54,4,frost,0.053510,87.6200,0.172524
55,4,fog,0.054143,91.1800,0.258786
56,4,brightness,0.054691,92.4600,0.277955
57,4,contrast,0.055056,92.3500,0.255591
58,4,elastic_transform,0.055735,85.6100,0.143770
59,4,pixelate,0.056518,87.6800,0.204473
60,4,jpeg_compression,0.056970,75.8000,0.067093
61,5,gaussian_noise,0.057366,68.0800,0.035144
62,5,shot_noise,0.058019,69.7700,0.054313
63,5,impulse_noise,0.058527,68.4500,0.047923
64,5,defocus_blur,0.059461,85.4000,0.178914
65,5,glass_blur,0.059790,69.0900,0.044728
66,5,motion_blur,0.060545,83.2400,0.156550
67,5,zoom_blur,0.061096,86.7800,0.188498
68,5,snow,0.061628,84.7300,0.153355
69,5,frost,0.062174,84.1700,0.169329
70,5,fog,0.062661,86.4500,0.159744
71,5,brightness,0.063146,90.6400,0.207668
72,5,contrast,0.063664,88.8300,0.220447
73,5,elastic_transform,0.064111,79.1000,0.111821
74,5,pixelate,0.064788,82.1000,0.130990
75,5,jpeg_compression,0.065173,72.0200,0.063898
