block,severity,corruption,drift,accuracy,gate_rate
1,1,gaussian_noise,0.000530,85.2300,
2,1,shot_noise,0.000057,88.3200,
3,1,impulse_noise,0.000017,89.3100,
4,1,defocus_blur,0.000020,94.4800,
5,1,glass_blur,0.000766,73.2700,
6,1,motion_blur,0.000015,92.2400,
7,1,zoom_blur,0.000022,92.0000,
8,1,snow,0.000027,91.4200,
9,1,frost,0.000025,92.1300,
10,1,fog,0.000004,94.6100,
11,1,brightness,0.000016,94.3800,
12,1,contrast,0.000000,94.4400,
13,1,elastic_transform,0.000023,91.2000,
14,1,pixelate,0.000005,92.2900,
15,1,jpeg_compression,0.000507,82.5300,
16,2,gaussian_noise,0.001152,77.6600,
17,2,shot_noise,0.000518,84.7000,
18,2,impulse_noise,0.000936,84.2500,
19,2,defocus_blur,0.000012,93.8400,
20,2,glass_blur,0.000743,73.4700,
21,2,motion_blur,0.000042,89.7800,
22,2,zoom_blur,0.000023,91.2800,
23,2,snow,0.000051,87.6300,
24,2,frost,0.000022,89.8500,
25,2,fog,0.000010,94.1200,
26,2,brightness,0.000010,94.2600,
27,2,contrast,0.000004,93.8200,
28,2,elastic_transform,0.000022,91.2400,
29,2,pixelate,0.000025,89.9300,
30,2,jpeg_compression,0.000631,75.7000,
31,3,gaussian_noise,0.001478,68.9500,
32,3,shot_noise,0.001977,75.2800,
33,3,impulse_noise,0.002327,80.3500,
34,3,defocus_blur,0.000007,92.4500,
35,3,glass_blur,0.000726,74.8400,
36,3,motion_blur,0.000049,86.4100,
37,3,zoom_blur,0.000010,90.0800,
38,3,snow,0.000050,87.8300,
39,3,frost,0.000130,86.2000,
40,3,fog,0.000017,93.0400,
41,3,brightness,0.000008,93.8600,
42,3,contrast,0.000016,93.1900,
43,3,elastic_transform,0.000024,89.7000,
44,3,pixelate,0.000020,88.7400,
45,3,jpeg_compression,0.000680,73.1600,
46,4,gaussian_noise,0.001582,64.8100,
47,4,shot_noise,0.002185,71.4300,
48,4,impulse_noise,0.002689,70.7900,
49,4,defocus_blur,0.000047,89.9700,
50,4,glass_blur,0.000965,62.7100,
51,4,motion_blur,0.000051,86.5900,
52,4,zoom_blur,0.000047,88.6900,
53,4,snow,0.000022,85.3900,
54,4,frost,0.000136,86.1900,
55,4,fog,0.000022,91.7500,
56,4,brightness,0.000023,93.1900,
57,4,contrast,0.000009,92.6700,
58,4,elastic_transform,0.000474,83.4400,
59,4,pixelate,0.000148,85.0500,
60,4,jpeg_compression,0.000818,70.8100,
61,5,gaussian_noise,0.001770,60.5700,
62,5,shot_noise,0.002452,64.3500,
63,5,impulse_noise,0.003044,63.1300,
64,5,defocus_blur,0.000299,84.6000,
65,5,glass_blur,0.001116,63.1300,
66,5,motion_blur,0.000061,83.0000,
67,5,zoom_blur,0.000051,86.6300,
68,5,snow,0.000460,84.4800,
69,5,frost,0.000870,82.7400,
70,5,fog,0.000073,87.2200,
71,5,brightness,0.000026,91.2900,
72,5,contrast,0.000061,89.3100,
73,5,elastic_transform,0.000675,75.1200,
74,5,pixelate,0.001202,76.8200,
75,5,jpeg_compression,0.001715,66.9900,
