block,severity,corruption,drift,accuracy,gate_rate
1,1,gaussian_noise,0.015193,86.8500,
2,1,shot_noise,0.021159,90.0200,
3,1,impulse_noise,0.026432,90.6600,
4,1,defocus_blur,0.029248,94.0600,
5,1,glass_blur,0.038385,79.0500,
6,1,motion_blur,0.040901,91.4800,
7,1,zoom_blur,0.043615,91.2800,
8,1,snow,0.046098,91.6400,
9,1,frost,0.048336,92.4900,
10,1,fog,0.050046,93.7300,
11,1,brightness,0.051708,93.8000,
12,1,contrast,0.053313,93.8300,
13,1,elastic_transform,0.056811,90.7900,
14,1,pixelate,0.059405,92.4300,
15,1,jpeg_compression,0.063894,84.6900,
16,2,gaussian_noise,0.068394,81.5300,
17,2,shot_noise,0.070985,87.2200,
18,2,impulse_noise,0.073851,85.7300,
19,2,defocus_blur,0.074980,92.2100,
20,2,glass_blur,0.079025,77.9600,
21,2,motion_blur,0.081333,87.3300,
22,2,zoom_blur,0.082838,90.0500,
23,2,snow,0.084633,87.7500,
24,2,frost,0.086780,88.4000,
25,2,fog,0.087652,91.4400,
26,2,brightness,0.088579,92.0300,
27,2,contrast,0.089701,91.7500,
28,2,elastic_transform,0.091516,89.4400,
29,2,pixelate,0.093335,88.9600,
30,2,jpeg_compression,0.096862,78.8600,
31,3,gaussian_noise,0.100178,74.6100,
32,3,shot_noise,0.102668,79.2200,
33,3,impulse_noise,0.104774,81.1800,
34,3,defocus_blur,0.105526,89.6800,
35,3,glass_blur,0.108278,77.6900,
36,3,motion_blur,0.109864,84.0000,
37,3,zoom_blur,0.111202,87.1700,
38,3,snow,0.112704,85.9000,
39,3,frost,0.114461,84.2800,
40,3,fog,0.115660,89.0600,
41,3,brightness,0.116611,89.0400,
42,3,contrast,0.117597,89.0500,
43,3,elastic_transform,0.119304,85.9200,
44,3,pixelate,0.120910,86.8100,
45,3,jpeg_compression,0.123703,76.0400,
46,4,gaussian_noise,0.126538,69.5200,
47,4,shot_noise,0.128540,71.7400,
48,4,impulse_noise,0.130883,69.8400,
49,4,defocus_blur,0.132085,82.5200,
50,4,glass_blur,0.134603,64.2700,
51,4,motion_blur,0.135790,79.2000,
52,4,zoom_blur,0.136809,83.4100,
53,4,snow,0.138220,79.2600,
54,4,frost,0.139159,81.5900,
55,4,fog,0.140039,84.9100,
56,4,brightness,0.140800,87.2100,
57,4,contrast,0.141689,86.0700,
58,4,elastic_transform,0.143340,79.7300,
59,4,pixelate,0.144657,82.2700,
60,4,jpeg_compression,0.146658,71.9500,
61,5,gaussian_noise,0.148888,65.5800,
62,5,shot_noise,0.150641,67.7500,
63,5,impulse_noise,0.152868,64.4400,
64,5,defocus_blur,0.154102,76.5200,
65,5,glass_blur,0.155982,63.2500,
66,5,motion_blur,0.157518,73.9000,
67,5,zoom_blur,0.158291,77.2100,
68,5,snow,0.159612,73.1900,
69,5,frost,0.160864,73.7300,
70,5,fog,0.162244,74.9600,
71,5,brightness,0.163014,80.5400,
72,5,contrast,0.164240,76.6300,
73,5,elastic_transform,0.165876,69.1600,
74,5,pixelate,0.167128,71.7900,
75,5,jpeg_compression,0.168685,65.5400,
